Name,Runtime,avg_mutual_information,entropy,rule_number,loss
rule_number-54,17,1.059514708,1.672358346,54,0.415177673
rule_number-565,18,1.059537589,1.67236068,565,0.457314521
rule_number-143,58,1.059691189,1.672362261,143,0.38083908
rule_number-655,26,1.059620366,1.672369372,655,0.450446099
rule_number-683,17,1.059703274,1.672381309,683,0.652016938
rule_number-797,21,1.05960388,1.672386418,797,0.404659599
rule_number-591,22,1.059704673,1.672388008,591,0.459615141
rule_number-590,19,1.059682925,1.672396125,590,0.45966658
rule_number-271,18,1.059552937,1.672398444,271,0.376840681
rule_number-61,18,1.059698974,1.672410699,61,0.35377726
rule_number-284,20,1.05959767,1.672411871,284,0.392641634
rule_number-598,17,1.059743617,1.6724126,598,0.555916727
rule_number-564,18,1.059680129,1.672413159,564,0.606930196
rule_number-205,19,1.059575512,1.672420836,205,0.626301348
rule_number-155,21,1.059658472,1.672423815,155,0.564789355
rule_number-813,18,1.059608691,1.672426805,813,0.443145365
rule_number-542,26,1.059492011,1.672427527,542,0.382855892
rule_number-812,20,1.05967533,1.672429258,812,0.477389365
rule_number-666,20,1.059697128,1.672430923,666,0.571254611
rule_number-53,18,1.059677992,1.672432954,53,0.47885865
rule_number-57,18,1.059597226,1.672435887,57,0.426235765
rule_number-301,20,1.059637316,1.672447618,301,0.430600017
rule_number-599,18,1.059692442,1.672448959,599,0.549267113
rule_number-171,21,1.059687325,1.672449231,171,0.588126302
rule_number-667,18,1.059588833,1.672454338,667,0.567941785
rule_number-154,26,1.059694527,1.67245464,154,0.568668544
rule_number-399,17,1.059567514,1.672458248,399,0.436441809
rule_number-409,20,1.059692632,1.672463615,409,0.583532751
rule_number-682,17,1.059769622,1.672464335,682,0.653883398
rule_number-300,20,1.059599651,1.672467039,300,0.557107747
rule_number-527,18,1.0594158,1.672476753,527,0.414873332
rule_number-335,17,1.059730961,1.672477293,335,0.468522787
rule_number-87,20,1.059698632,1.672478678,87,0.548714459
rule_number-558,20,1.059587488,1.672489266,558,0.473613739
rule_number-86,19,1.059702998,1.672492254,86,0.551707506
rule_number-334,19,1.059668086,1.67250028,334,0.475964159
rule_number-285,18,1.059539359,1.672510448,285,0.395778358
rule_number-55,19,1.05932921,1.672545616,55,0.377941936
rule_number-62,18,1.059334088,1.672547376,62,0.346594214
rule_number-79,18,1.059426421,1.672558947,79,0.386434764
rule_number-47,18,1.059252096,1.672573877,47,0.391155005
rule_number-31,16,1.059173761,1.672605502,31,0.347118437
