Name,Runtime,avg_mutual_information,entropy,rule_number,loss
rule_number-394,16,1.059668763,1.646356816,394,0.693147242
rule_number-134,18,1.059569541,1.64764861,134,0.693147242
rule_number-165,19,1.05978521,1.649346401,165,0.693147242
rule_number-536,17,1.059867167,1.650328663,536,0.693147242
rule_number-677,26,1.059672232,1.650589818,677,0.693147242
rule_number-20,19,1.059670387,1.651507158,20,0.693147242
rule_number-421,15,1.059712446,1.651857929,421,0.693147242
rule_number-14,16,1.059377503,1.652024868,14,0.693147242
rule_number-268,16,1.059526341,1.652396618,268,0.693147242
rule_number-532,18,1.059718339,1.652534312,532,0.693147242
rule_number-594,18,1.059804597,1.653358416,594,0.693147242
rule_number-326,18,1.05961931,1.654069845,326,0.693147242
rule_number-780,16,1.059534037,1.654116465,780,0.693147242
rule_number-82,20,1.059826618,1.654539396,82,0.693147242
rule_number-582,18,1.059579063,1.654613825,582,0.693147242
rule_number-432,20,1.060429362,1.655005309,432,0.693147242
rule_number-276,16,1.059679318,1.655701314,276,0.693147242
rule_number-838,18,1.059665756,1.655798067,838,0.693147242
rule_number-198,17,1.059621377,1.655970481,198,0.693147242
rule_number-586,15,1.059768681,1.656501641,586,0.693147242
rule_number-74,16,1.059685942,1.656508963,74,0.693147242
rule_number-788,18,1.059732876,1.656674649,788,0.693147242
rule_number-850,18,1.05995816,1.656756339,850,0.693147242
rule_number-330,16,1.059698748,1.657484841,330,0.693147242
rule_number-842,18,1.059675214,1.657547888,842,0.693147242
rule_number-338,18,1.059805366,1.657810833,338,0.693147242
rule_number-482,17,1.061142479,1.65852281,482,0.693147242
rule_number-710,17,1.059632291,1.658759052,710,0.693147242
rule_number-688,18,1.062470221,1.658765862,688,0.693147242
rule_number-38,18,1.059607023,1.659614254,38,0.693147242
rule_number-22,15,1.059533132,1.659680402,22,0.693147242
rule_number-294,16,1.059608407,1.661461118,294,0.693147242
rule_number-806,28,1.059622525,1.661674836,806,0.693147242
rule_number-534,24,1.059578893,1.661720046,534,0.693147242
rule_number-454,17,1.059760229,1.661723293,454,0.693147242
rule_number-652,18,1.059587753,1.661839793,652,0.693147242
rule_number-140,18,1.059722441,1.662094002,140,0.693147242
rule_number-714,14,1.059710788,1.662630419,714,0.693147242
rule_number-202,17,1.05975196,1.662703572,202,0.693147242
rule_number-396,18,1.059670556,1.662792458,396,0.693147242
rule_number-339,16,1.059802413,1.663169213,339,0.693147242
rule_number-280,18,1.059736427,1.66348968,280,0.693147242
rule_number-660,17,1.059654123,1.66351776,660,0.693147242
rule_number-100,16,1.05990552,1.66358898,100,0.693147242
rule_number-148,18,1.059697005,1.663598367,148,0.693147242
rule_number-41,15,1.059807562,1.663608471,41,0.693147242
rule_number-26,18,1.059555511,1.663849005,26,0.693147242
rule_number-553,16,1.059809942,1.663891884,553,0.693147242
rule_number-612,17,1.060140545,1.664169546,612,0.693147242
rule_number-166,15,1.059764715,1.664727001,166,0.693147242
rule_number-510,14,1.059607456,1.664799895,510,0.693147242
rule_number-404,17,1.059652316,1.664863623,404,0.693147242
rule_number-678,18,1.059693348,1.665020033,678,0.693147242
rule_number-149,16,1.059545483,1.66506761,149,0.693147242
rule_number-168,17,1.060208992,1.665399777,168,0.693147242
rule_number-661,22,1.059709234,1.665440074,661,0.693147242
rule_number-792,18,1.059719328,1.66558546,792,0.693147242
rule_number-297,20,1.059771089,1.665725369,297,0.693147242
rule_number-538,18,1.059567061,1.666078221,538,0.693147242
rule_number-305,18,1.059893477,1.666592394,305,0.693147242
rule_number-405,18,1.059671118,1.666611329,405,0.693147242
rule_number-240,18,1.060630717,1.666665365,240,0.693147242
rule_number-809,18,1.05977683,1.66667932,809,0.693147242
rule_number-422,17,1.05979909,1.667210561,422,0.693147242
rule_number-680,16,1.059961453,1.66747726,680,0.693147242
rule_number-458,17,1.059887508,1.667876435,458,0.693147242
rule_number-101,19,1.059974012,1.668090693,101,0.693147242
rule_number-738,19,1.061339318,1.668247918,738,0.693147242
rule_number-76,18,1.059729518,1.668438884,76,0.693147242
rule_number-817,18,1.059998793,1.668673101,817,0.693147242
rule_number-42,18,1.059578939,1.668718788,42,0.693147242
rule_number-460,18,1.059820608,1.668868252,460,0.693147242
rule_number-554,18,1.059720761,1.66906161,554,0.693147242
rule_number-613,18,1.059878269,1.669321677,613,0.693147242
rule_number-282,15,1.05956551,1.669564655,282,0.693147242
rule_number-465,17,1.061110158,1.6695876,465,0.693147242
rule_number-588,16,1.059695446,1.669630996,588,0.693147242
rule_number-50,17,1.059629869,1.669753687,50,0.693147242
rule_number-332,16,1.059708687,1.669996063,332,0.693147242
rule_number-794,16,1.059631869,1.670024701,794,0.693147242
rule_number-540,18,1.059470977,1.670109559,540,0.693147242
rule_number-662,15,1.059522996,1.670153528,662,0.693147242
rule_number-844,17,1.059746741,1.670252776,844,0.693147242
rule_number-44,18,1.059535258,1.670271883,44,0.693147242
rule_number-810,18,1.05970792,1.67030334,810,0.693147242
rule_number-562,18,1.059729469,1.670308422,562,0.693147242
rule_number-298,18,1.059691608,1.670409291,298,0.693147242
rule_number-424,17,1.059936937,1.670642136,424,0.693147242
rule_number-177,17,1.0600343,1.670746945,177,0.693147242
rule_number-406,16,1.059752427,1.671066728,406,0.693147242
rule_number-556,18,1.059589376,1.671142009,556,0.693147242
rule_number-210,18,1.060089357,1.671181696,210,0.693147242
rule_number-356,16,1.059960789,1.6712386,356,0.693147242
rule_number-723,16,1.05993621,1.671373357,723,0.693147242
rule_number-722,18,1.060245383,1.671512073,722,0.693147242
rule_number-169,18,1.059790619,1.671609866,169,0.693147242
rule_number-152,17,1.05967267,1.671651103,152,0.693147242
rule_number-52,18,1.05963845,1.671794996,52,0.693147242
rule_number-681,18,1.059812477,1.671877765,681,0.693147242
rule_number-357,18,1.060039795,1.671924257,357,0.693147242
rule_number-868,15,1.060075255,1.671929503,868,0.693147242
rule_number-426,16,1.059779344,1.671938321,426,0.693147242
rule_number-153,16,1.059626728,1.671963937,153,0.693147242
rule_number-664,17,1.059642728,1.671992803,664,0.693147242
rule_number-84,22,1.059622175,1.672004434,84,0.693147242
rule_number-211,18,1.060035941,1.672040948,211,0.693147242
rule_number-596,16,1.059587084,1.672043546,596,0.693147242
rule_number-204,18,1.059691087,1.672076217,204,0.693147242
rule_number-597,16,1.059831708,1.672225837,597,0.693147242
rule_number-665,18,1.059704804,1.672230959,665,0.693147242
rule_number-425,18,1.059803162,1.672307051,425,0.693147242
rule_number-614,16,1.059702269,1.672332527,614,0.693147242
rule_number-410,18,1.059608026,1.672349546,410,0.693147242
rule_number-818,16,1.059764694,1.672353069,818,0.693147242
rule_number-306,28,1.059741435,1.672363341,306,0.693147242
rule_number-853,18,1.05975437,1.672369388,853,0.693147242
rule_number-408,20,1.059789646,1.672373235,408,0.693147242
rule_number-170,15,1.059785519,1.672396497,170,0.693147242
rule_number-340,17,1.059810401,1.672424097,340,0.693147242
rule_number-796,15,1.059667248,1.672434451,796,0.693147242
rule_number-341,15,1.059602588,1.672459821,341,0.693147242
rule_number-716,18,1.059747609,1.672464907,716,0.693147242
rule_number-852,18,1.059679832,1.672466249,852,0.693147242
