Name,Runtime,avg_mutual_information,entropy,rule_number,loss
rule_number-43,19,1.059628098,1.66967732,43,0.562081397
rule_number-105,19,1.059671531,1.669689087,105,0.46599257
rule_number-174,20,1.059595696,1.669692667,174,0.550501764
rule_number-77,18,1.059550432,1.669701886,77,0.466955006
rule_number-481,29,1.062263885,1.670015482,481,0.658838332
rule_number-310,17,1.059584384,1.670045498,310,0.426963061
rule_number-459,17,1.06002306,1.670158521,459,0.616930604
rule_number-150,17,1.059639239,1.670172282,150,0.520249426
rule_number-39,18,1.059427092,1.670199723,39,0.415845633
rule_number-158,19,1.05964579,1.670326879,158,0.399574816
rule_number-71,18,1.059518531,1.670379376,71,0.411915123
rule_number-287,18,1.059915447,1.670455618,287,0.361137062
rule_number-455,20,1.05968292,1.670466057,455,0.539716005
rule_number-191,19,1.059458412,1.670501319,191,0.343162805
rule_number-173,17,1.059695218,1.670526998,173,0.487901509
rule_number-27,28,1.059577455,1.670539613,27,0.413537204
rule_number-159,19,1.060057655,1.670594738,159,0.369113237
rule_number-113,21,1.059661327,1.670657022,113,0.336242229
rule_number-29,18,1.060019843,1.670673684,29,0.456227928
rule_number-286,21,1.059484027,1.670691385,286,0.382972658
rule_number-398,17,1.059488807,1.670788023,398,0.454168022
rule_number-299,18,1.059754764,1.67080438,299,0.61954242
rule_number-172,18,1.059672057,1.670855477,172,0.426235199
rule_number-279,18,1.059603976,1.670872643,279,0.521916091
rule_number-45,18,1.059566903,1.670879903,45,0.467398465
rule_number-91,21,1.059647294,1.670886877,91,0.364039361
rule_number-93,19,1.059612579,1.670926806,93,0.367489159
rule_number-333,18,1.059613372,1.670934781,333,0.578285396
rule_number-56,18,1.059604244,1.670940026,56,0.475565314
rule_number-94,17,1.059500093,1.670983253,94,0.428866148
rule_number-124,29,1.059526811,1.670989949,124,0.327688694
rule_number-303,18,1.059564844,1.670993019,303,0.488660216
rule_number-308,19,1.059685784,1.67113384,308,0.509596586
rule_number-151,18,1.059665313,1.67113513,151,0.552900314
rule_number-11,20,1.059215004,1.671138354,11,0.381430745
rule_number-309,18,1.059608621,1.671141145,309,0.497680813
rule_number-142,18,1.059650195,1.671184001,142,0.428338289
rule_number-90,17,1.05961314,1.671240452,90,0.370878845
rule_number-157,20,1.059701125,1.671288899,157,0.406403184
rule_number-283,19,1.059666197,1.671300052,283,0.535984278
rule_number-92,16,1.059648596,1.671318698,92,0.445832044
rule_number-427,18,1.059950887,1.671409475,427,0.666937947
rule_number-46,18,1.059513917,1.671497848,46,0.48163721
rule_number-89,32,1.059657989,1.671619998,89,0.595753133
rule_number-95,17,1.059288839,1.671653258,95,0.35597074
rule_number-407,17,1.059601119,1.671653951,407,0.578626156
rule_number-426,17,1.059736431,1.671684728,426,0.519932866
rule_number-302,21,1.059769291,1.671689062,302,0.497893721
rule_number-156,18,1.059514475,1.671718803,156,0.405541122
rule_number-51,30,1.059562192,1.671723576,51,0.506635725
rule_number-23,18,1.059239224,1.671726072,23,0.390794367
rule_number-78,18,1.059646814,1.671757931,78,0.451859802
rule_number-1,29,1.059155841,1.67179373,1,0.361673206
rule_number-207,18,1.059648319,1.671804163,207,0.512171686
rule_number-227,20,1.060045781,1.671895472,227,0.640210927
rule_number-206,16,1.059596006,1.671910562,206,0.519854903
rule_number-3,15,1.059157711,1.671948578,3,0.361388892
rule_number-104,18,1.059882227,1.671992683,104,0.481893122
rule_number-15,24,1.059183296,1.671999177,15,0.361538798
rule_number-60,20,1.059481921,1.672001445,60,0.371213883
rule_number-120,17,1.059586691,1.672009647,120,0.336034566
rule_number-255,14,1.059154128,1.672045043,255,0.333028555
rule_number-153,20,1.059646538,1.672069934,153,0.661369085
rule_number-127,15,1.05915887,1.672095385,127,0.33387512
rule_number-411,18,1.059636902,1.67212651,411,0.573835611
rule_number-63,18,1.059170132,1.672132827,63,0.334540159
rule_number-7,15,1.0591857,1.672136605,7,0.359555274
rule_number-343,23,1.05964968,1.672141418,343,0.636777818
rule_number-88,20,1.059693042,1.672212611,88,0.450403154
rule_number-410,18,1.059591145,1.672220874,410,0.571429193
rule_number-342,19,1.059686017,1.672235405,342,0.621608078
rule_number-85,18,1.059643163,1.672243048,85,0.639039159
rule_number-143,17,1.059509127,1.672303193,143,0.385349751
rule_number-58,19,1.059530485,1.672347333,58,0.366009951
rule_number-205,20,1.059678808,1.672351848,205,0.631193161
rule_number-307,20,1.059729159,1.672358038,307,0.520365059
rule_number-103,20,1.059776343,1.672366305,103,0.608548284
rule_number-271,20,1.059437295,1.672385387,271,0.375054419
rule_number-334,20,1.059582206,1.672404436,334,0.665090919
rule_number-171,18,1.05971638,1.67240845,171,0.642165065
rule_number-53,18,1.059618314,1.672410972,53,0.479905576
rule_number-300,18,1.059732343,1.672414432,300,0.51642102
rule_number-335,18,1.05966001,1.672417288,335,0.468912035
rule_number-62,20,1.05935751,1.672425357,62,0.348519146
rule_number-154,18,1.059609449,1.672426258,154,0.569104791
rule_number-87,18,1.059696336,1.67243459,87,0.536651909
rule_number-86,17,1.059535098,1.672447937,86,0.553663015
rule_number-54,20,1.059624071,1.672448121,54,0.412824869
rule_number-284,20,1.059534517,1.672448308,284,0.393763304
rule_number-399,18,1.059522882,1.672456968,399,0.437321842
rule_number-59,20,1.059874033,1.672460869,59,0.364313662
rule_number-61,18,1.059720664,1.672471429,61,0.352158546
rule_number-409,20,1.059668602,1.672485741,409,0.58230865
rule_number-155,18,1.059614502,1.672492148,155,0.565374672
rule_number-285,22,1.059526635,1.672498516,285,0.397163481
rule_number-301,20,1.059658186,1.672531543,301,0.435581118
rule_number-57,17,1.059674354,1.672531884,57,0.347174764
rule_number-55,19,1.059310029,1.672538694,55,0.395059347
rule_number-79,20,1.059382071,1.672542751,79,0.390924126
rule_number-47,17,1.059263334,1.672585493,47,0.38990429
rule_number-31,16,1.059167426,1.672613087,31,0.346297234
